2023-08-13 12:31:37.417429 - Starting learning loop ...
==================================================================
2023-08-13 12:31:37.417429 - Using Framebuffer of: 1 frames	 and 	ReplayBufferSize: 100000
2023-08-13 12:31:37.417429 - Loglevel is set to: a
2023-08-13 12:31:37.417429 - Epoc #	0	 
2023-08-13 12:32:01.767112 - Epoc #	10	 24.349683046340942
2023-08-13 12:32:22.291155 - Epoc #	20	 20.524043083190918
2023-08-13 12:32:42.377596 - Epoc #	30	 20.086440801620483
2023-08-13 12:33:04.729153 - Epoc #	40	 22.35155701637268
2023-08-13 12:33:25.310190 - Epoc #	50	 20.581037044525146
2023-08-13 12:33:45.706512 - Epoc #	60	 20.396322011947632
2023-08-13 12:34:06.386117 - Epoc #	70	 20.67960500717163
2023-08-13 12:34:28.425940 - Epoc #	80	 22.039823055267334
2023-08-13 12:34:51.327381 - Epoc #	90	 22.901440858840942
2023-08-13 12:35:12.036548 - Epoc #	100	 20.709167003631592
2023-08-13 12:35:18.340156 - Time between reward step: #	220.9227271080017
2023-08-13 12:35:18.340156 - Average Score: 12.00 Elapsed time: 0:03:43.212258
2023-08-13 12:35:32.636859 - Epoc #	110	 20.600311040878296
2023-08-13 12:35:53.550508 - Epoc #	120	 20.913649082183838
2023-08-13 12:36:15.311214 - Time between reward step: #	277.8937849998474
2023-08-13 12:36:15.311214 - Average Score: 13.00 Elapsed time: 0:04:40.181693
2023-08-13 12:36:17.875170 - Epoc #	130	 24.32466197013855
2023-08-13 12:36:21.066811 - Time between reward step: #	283.6493821144104
2023-08-13 12:36:21.066811 - Average Score: 14.00 Elapsed time: 0:04:45.943504
2023-08-13 12:36:42.511709 - Epoc #	140	 24.636538982391357
2023-08-13 12:37:03.205018 - Epoc #	150	 20.69330906867981
2023-08-13 12:37:09.837448 - Time between reward step: #	332.4200189113617
2023-08-13 12:37:09.837448 - Average Score: 15.00 Elapsed time: 0:05:34.720433
2023-08-13 12:37:16.486204 - Time between reward step: #	339.0687749385834
2023-08-13 12:37:16.486204 - Average Score: 16.00 Elapsed time: 0:05:41.369972
2023-08-13 12:37:24.681754 - Epoc #	160	 21.476736068725586
2023-08-13 12:37:45.515121 - Epoc #	170	 20.833366870880127
