Wall time,Step,Value
1689862566.281786,18,8.0
1689862600.880775,42,9.0
1689862606.8191476,45,29.0
1689862624.6977324,56,8.0
1689862649.2907403,71,6.0
1689862654.3219967,74,0.0
1689862681.3172178,94,23.0
1689862760.6825433,155,9.0
1689862764.2265737,158,6.0
1689862777.041489,167,2.0
1689862855.8624792,229,7.0
1689862862.1421688,234,0.0
1689862885.7971745,255,2.0
1689862894.5568566,260,4.0
1689862904.00692,267,3.0
1689862910.3922682,273,5.0
1689862958.4574425,308,0.0
1689862962.2072184,310,15.0
1689862973.3198311,318,0.0
1689863016.5473902,347,3.0
1689863049.7024632,367,4.0
1689863127.6475768,421,1.0
1689863128.5326853,422,3.0
1689863152.0022175,442,3.0
1689863178.0626912,460,0.0
1689863195.1123822,474,7.0
1689863280.3723357,536,4.0
1689863306.7323632,563,3.0
1689863316.91258,579,0.0
1689863322.7473435,586,3.0
1689863324.1723351,587,20.0
1689863351.194981,620,3.0
1689863360.8698363,634,9.0
1689863368.1847985,642,25.0
1689863372.1532428,647,0.0
1689863374.002356,649,13.0
1689863382.757454,661,10.0
1689863389.6021664,671,2.0
1689863418.5926802,714,6.0
1689863424.422379,722,2.0
1689863430.0953205,730,6.0
1689863450.7825856,756,20.0
1689863457.4578447,765,4.0
1689863461.191079,769,2.0
1689863462.2923946,771,4.0
1689863473.9356334,785,7.0
1689863475.0924659,787,10.0
1689863481.5325482,794,2.0
1689863487.462552,802,11.0
1689863491.8234854,808,12.0
1689863509.8555503,836,9.0
1689863564.7724564,909,3.0
1689863591.2426956,942,2.0
1689863594.1645083,945,13.0
1689863606.5188348,962,8.0
1689863612.9726164,971,1.0
1689863614.2426825,972,14.0
1689863618.492716,978,7.0
1689863618.9575565,979,2.0
1689863622.0228508,984,9.0
1689863634.7523637,1002,12.0
1689863636.7925591,1005,12.0
1689863642.8627188,1014,2.0
1689863680.3329203,1063,5.0
1689863682.2778242,1066,8.0
1689863684.9224215,1072,2.0
1689863690.2475026,1078,29.0
1689863693.7489865,1083,0.0
1689863702.2585757,1093,0.0
1689863706.3829443,1099,11.0
1689863709.6758828,1104,6.0
1689863751.6678116,1156,4.0
1689863754.9325259,1161,4.0
1689863755.6297467,1162,5.0
1689863769.2407472,1180,6.0
1689863780.617847,1193,5.0
1689863791.497931,1206,19.0
1689863818.6830487,1244,4.0
1689863835.3526943,1261,9.0
1689863852.6395497,1281,14.0
1689863861.5896344,1294,9.0
1689863878.2930665,1316,1.0
1689863881.64296,1319,20.0
1689863895.241331,1333,14.0
1689863898.6592667,1337,29.0
1689863934.7728727,1385,2.0
1689863938.5179195,1392,0.0
1689863956.9480674,1414,25.0
1689863967.6145458,1426,8.0
1689863976.7726061,1436,17.0
1689864002.9030654,1466,6.0
1689864010.3577979,1477,0.0
1689864016.3077557,1485,5.0
1689864020.6731663,1491,13.0
1689864046.2686586,1523,0.0
