Wall time,Step,Value
1689752644.4211392,18,5.0
1689752681.4699845,42,29.0
1689752684.5637455,45,2.0
1689752704.315877,56,15.0
1689752729.1396408,71,0.0
1689752731.4838197,74,4.0
1689752759.7365794,94,11.0
1689752844.115926,155,1.0
1689752849.618647,158,8.0
1689752858.4821084,167,0.0
1689752937.852148,229,1.0
1689752942.3380363,234,1.0
1689752971.7551806,255,7.0
1689752979.0208027,260,3.0
1689752990.8020594,267,13.0
1689752996.7395434,273,1.0
1689753046.9850123,308,29.0
1689753052.3600125,310,29.0
1689753061.5475118,318,8.0
1689753105.0630739,347,6.0
1689753139.5008612,367,0.0
1689753201.8929224,421,7.0
1689753203.1898904,422,6.0
1689753238.0662029,442,6.0
1689753262.894308,460,3.0
1689753288.5667405,474,18.0
1689753366.801049,536,12.0
1689753397.653023,563,1.0
1689753423.5022366,579,2.0
1689753436.3302925,586,13.0
1689753436.8616004,587,0.0
1689753493.4883811,620,2.0
1689753514.613572,634,14.0
1689753525.5980203,642,16.0
1689753533.7541988,647,16.0
1689753535.519886,649,0.0
1689753551.144889,661,4.0
1689753567.2387996,671,8.0
1689753629.0522337,714,11.0
1689753641.1616023,722,4.0
1689753651.7553535,730,2.0
1689753693.9746935,756,29.0
1689753707.1778116,765,0.0
1689753713.709475,769,7.0
1689753716.053261,771,3.0
1689753736.053857,785,0.0
1689753738.1945386,787,0.0
1689753747.928916,794,3.0
1689753754.882037,802,1.0
1689753763.3195472,808,22.0
1689753798.0226057,836,0.0
1689753896.4977167,909,1.0
1689753947.6295693,942,1.0
1689753950.8015118,945,3.0
1689753971.7390087,962,1.0
1689753981.8796172,971,6.0
1689753982.9265056,972,4.0
1689753989.9890103,978,0.0
1689753990.8796318,979,3.0
1689753998.911503,984,6.0
1689754022.113854,1002,0.0
1689754026.6451743,1005,1.0
1689754037.020101,1014,12.0
1689754111.3900564,1063,7.0
1689754116.061934,1066,7.0
1689754123.359105,1072,12.0
1689754130.5778565,1078,6.0
1689754137.109333,1083,2.0
1689754152.7655132,1093,4.0
1689754161.093701,1099,3.0
1689754169.6412776,1104,29.0
1689754243.0170283,1156,5.0
1689754254.1576495,1161,1.0
1689754254.7045228,1162,0.0
1689754276.9545217,1180,11.0
1689754295.0013285,1193,0.0
1689754315.6268506,1206,5.0
1689754373.6320977,1244,10.0
1689754394.7937517,1261,4.0
1689754426.2587833,1281,4.0
1689754448.5400307,1294,0.0
1689754481.2594507,1316,2.0
1689754483.8688326,1319,6.0
1689754502.9319232,1333,0.0
1689754510.2599757,1337,21.0
1689754588.6665592,1385,6.0
1689754602.635859,1392,7.0
1689754631.7625701,1414,2.0
1689754646.6690202,1426,29.0
1689754657.4659603,1436,5.0
1689754706.7432008,1466,3.0
1689754716.9775758,1477,6.0
1689754729.9154954,1485,13.0
1689754740.0873787,1491,2.0
1689754789.7061346,1523,2.0
1689754796.5661252,1527,7.0
1689754835.9666965,1552,12.0
1689754864.9779596,1568,27.0
1689754866.1654642,1569,5.0
1689754887.5091398,1584,2.0
1689754891.977956,1588,10.0
1689754913.3065076,1605,4.0
1689754967.9315135,1640,4.0
1689754982.0876994,1648,4.0
1689755004.4629858,1668,5.0
1689755024.0254183,1682,10.0
1689755034.697287,1691,0.0
1689755046.025489,1697,5.0
1689755053.869164,1702,12.0
1689755060.306686,1709,4.0
1689755071.962984,1718,9.0
1689755098.119229,1732,14.0
1689755100.3066642,1734,7.0
1689755105.837926,1737,8.0
1689755112.5097964,1746,1.0
1689755163.4401608,1781,7.0
1689755196.690104,1805,12.0
1689755226.6907723,1826,4.0
1689755251.3001614,1844,0.0
1689755264.7224941,1853,18.0
1689755286.1608005,1866,2.0
1689755292.7717226,1869,9.0
1689755302.839478,1877,10.0
1689755358.8902357,1917,6.0
1689755383.0309083,1934,11.0
1689755399.6246111,1944,11.0
1689755404.640263,1947,14.0
1689755434.296786,1967,8.0
1689755460.9847863,1983,6.0
1689755487.000345,2001,3.0
1689755505.2984624,2013,12.0
1689755528.7988994,2030,2.0
1689755537.4707754,2036,7.0
1689755572.048898,2060,17.0
1689755588.1113303,2073,6.0
1689755592.3770304,2076,3.0
1689755594.7051532,2077,13.0
1689755602.3145308,2085,2.0
1689755610.2363966,2089,20.0
1689755624.6738348,2096,6.0
1689755709.8463445,2145,20.0
1689755714.127524,2149,6.0
1689755721.440022,2156,8.0
1689755734.2732594,2165,3.0
1689755766.3231714,2187,14.0
1689755775.965153,2191,5.0
1689755790.5941875,2199,12.0
1689755804.0562563,2207,10.0
1689755808.6045637,2211,4.0
1689755840.657697,2231,5.0
1689755850.594121,2236,14.0
1689755852.6567185,2237,11.0
1689755860.8286004,2242,10.0
1689755881.8129692,2254,2.0
1689755884.7660925,2257,3.0
1689755891.3597772,2262,5.0
1689755917.1259031,2281,8.0
1689755942.376828,2297,0.0
1689755955.314276,2307,13.0
1689755973.626838,2319,6.0
1689756017.736203,2345,3.0
1689756030.6899443,2354,11.0
1689756086.674539,2389,26.0
1689756088.3307772,2390,8.0
1689756090.9557862,2392,0.0
1689756156.175037,2436,27.0
1689756167.7375307,2444,19.0
1689756182.6437805,2453,13.0
1689756184.6125271,2455,5.0
1689756191.3312914,2460,0.0
1689756231.221491,2485,21.0
1689756231.9714656,2486,2.0
1689756241.1589031,2496,1.0
1689756242.3933485,2498,1.0
1689756249.253161,2503,4.0
1689756269.92994,2517,22.0
1689756282.780758,2523,4.0
1689756297.0398166,2532,2.0
1689756315.5093968,2547,3.0
1689756320.6811717,2553,2.0
1689756395.480198,2600,3.0
1689756402.8552017,2606,25.0
1689756428.4333224,2623,4.0
1689756439.5115192,2629,4.0
1689756527.551947,2678,9.0
1689756536.2074916,2685,2.0
1689756547.7285602,2690,2.0
1689756572.7740755,2703,22.0
1689756633.1206212,2740,2.0
1689756650.539107,2754,6.0
1689756714.1645677,2789,13.0
1689756833.6489604,2872,5.0
1689756847.1958177,2881,0.0
1689756861.5552008,2890,5.0
1689756871.1333172,2896,3.0
1689756911.0395658,2920,3.0
1689756987.3072476,2967,14.0
1689757004.4089832,2975,15.0
1689757072.9596388,3011,3.0
1689757100.409936,3027,3.0
1689757106.4411807,3030,10.0
1689757117.0661764,3038,0.0
1689757122.316181,3041,6.0
1689757162.2380533,3065,8.0
1689757168.9098237,3069,10.0
1689757205.8473725,3099,2.0
1689757267.535022,3137,5.0
1689757293.69029,3155,8.0
1689757301.2370958,3161,3.0
1689757322.9253185,3177,0.0
1689757354.2847023,3195,10.0
1689757355.7690032,3196,7.0
1689757411.519634,3230,29.0
1689757429.4107342,3240,1.0
1689757437.7393265,3243,20.0
1689757438.5987604,3244,2.0
1689757440.8657217,3246,3.0
1689757445.072657,3247,29.0
1689757479.2268858,3272,9.0
1689757531.9296646,3305,8.0
1689757608.1263359,3345,1.0
1689757654.6069129,3376,4.0
1689757708.2478635,3403,14.0
1689757717.4822264,3408,17.0
1689757751.5916133,3430,0.0
1689757786.716723,3449,3.0
1689757810.0448482,3464,9.0
1689757839.9354136,3480,8.0
1689757900.5608983,3509,0.0
1689757906.780078,3512,24.0
1689757939.4368775,3537,2.0
1689757974.985663,3563,4.0
1689758001.0935822,3580,1.0
1689758035.918895,3600,16.0
1689758069.5744998,3618,2.0
1689758073.4138205,3620,8.0
1689758077.283123,3622,15.0
1689758088.568214,3628,11.0
1689758134.3842473,3656,0.0
1689758153.4311354,3670,1.0
1689758238.8842528,3726,9.0
1689758245.1655035,3730,16.0
1689758264.3529968,3741,0.0
1689758321.6654966,3772,10.0
1689758338.7436278,3780,13.0
1689758366.8061204,3793,8.0
1689758374.1913507,3798,0.0
1689758395.6456537,3814,3.0
1689758403.9580822,3819,4.0
1689758405.7237785,3821,2.0
1689758419.5987682,3831,9.0
