2023-07-13 03:36:43.693530 - Starting learning loop ...
==================================================================
2023-07-13 03:36:43.693530 - Using Framebuffer of: 4 frames	 and 	ReplayBufferSize: 25000
2023-07-13 03:36:43.693530 - Loglevel is set to: a
2023-07-13 03:36:43.693530 - Epoc #	0	 
2023-07-13 03:36:55.847746 - Epoc #	10	 12.154215812683105
2023-07-13 03:37:08.339031 - Epoc #	20	 12.4912850856781
2023-07-13 03:37:20.676723 - Epoc #	30	 12.337692022323608
2023-07-13 03:37:32.587354 - Epoc #	40	 11.910630941390991
2023-07-13 03:37:44.631640 - Epoc #	50	 12.044286012649536
2023-07-13 03:37:56.752336 - Epoc #	60	 12.120696067810059
2023-07-13 03:38:09.292385 - Epoc #	70	 12.540049076080322
2023-07-13 03:38:21.863567 - Epoc #	80	 12.571182012557983
2023-07-13 03:38:33.823647 - Epoc #	90	 11.960079908370972
2023-07-13 03:38:45.846372 - Epoc #	100	 12.022724866867065
2023-07-13 03:38:58.179062 - Epoc #	110	 12.332690000534058
2023-07-13 03:39:03.616573 - Time between reward step: #	139.92304301261902
2023-07-13 03:39:03.616573 - Average Score: 9.00 Elapsed time: 0:02:21.186325
2023-07-13 03:39:10.821312 - Epoc #	120	 12.642250061035156
2023-07-13 03:39:22.625203 - Epoc #	130	 11.803890943527222
2023-07-13 03:39:35.751414 - Epoc #	140	 13.126211166381836
2023-07-13 03:39:47.700103 - Epoc #	150	 11.948688983917236
2023-07-13 03:39:59.918285 - Epoc #	160	 12.218181848526001
2023-07-13 03:40:11.726925 - Epoc #	170	 11.808640003204346
2023-07-13 03:40:23.635350 - Epoc #	180	 11.908425092697144
2023-07-13 03:40:35.597263 - Epoc #	190	 11.961913108825684
2023-07-13 03:40:47.773997 - Epoc #	200	 12.17673397064209
2023-07-13 03:40:59.781767 - Epoc #	210	 12.00776982307434
2023-07-13 03:41:11.880078 - Epoc #	220	 12.098311185836792
2023-07-13 03:41:24.249641 - Epoc #	230	 12.369562864303589
2023-07-13 03:41:36.055348 - Epoc #	240	 11.805706977844238
2023-07-13 03:41:47.739012 - Epoc #	250	 11.683664083480835
2023-07-13 03:42:00.263176 - Epoc #	260	 12.524163961410522
2023-07-13 03:42:12.846335 - Epoc #	270	 12.58315896987915
2023-07-13 03:42:24.932670 - Epoc #	280	 12.086335182189941
2023-07-13 03:42:37.234567 - Epoc #	290	 12.301896810531616
2023-07-13 03:42:49.273435 - Epoc #	300	 12.038868188858032
2023-07-13 03:43:01.255682 - Epoc #	310	 11.98224687576294
2023-07-13 03:43:13.591449 - Epoc #	320	 12.335767030715942
2023-07-13 03:43:26.010544 - Epoc #	330	 12.419095039367676
2023-07-13 03:43:39.314994 - Epoc #	340	 13.304450035095215
2023-07-13 03:43:51.417920 - Epoc #	350	 12.102926015853882
2023-07-13 03:44:03.976461 - Epoc #	360	 12.55854082107544
2023-07-13 03:44:16.095958 - Epoc #	370	 12.119497060775757
2023-07-13 03:44:28.510178 - Epoc #	380	 12.414220094680786
2023-07-13 03:44:41.123648 - Epoc #	390	 12.61346983909607
2023-07-13 03:44:43.690120 - Time between reward step: #	479.9965898990631
2023-07-13 03:44:43.690120 - Average Score: 10.00 Elapsed time: 0:08:01.260317
2023-07-13 03:44:46.255906 - Time between reward step: #	482.56237602233887
2023-07-13 03:44:46.255906 - Average Score: 11.00 Elapsed time: 0:08:03.835611
2023-07-13 03:44:53.655903 - Epoc #	400	 12.532255172729492
2023-07-13 03:44:59.729812 - Time between reward step: #	496.03628182411194
