2023-07-19 18:01:19.614448 - Starting learning loop ...
==================================================================
2023-07-19 18:01:19.614448 - Using Framebuffer of: 4 frames	 and 	ReplayBufferSize: 25000
2023-07-19 18:01:19.614448 - Loglevel is set to: a
2023-07-19 18:01:19.614448 - Epoc #	0	 
2023-07-19 18:01:29.982534 - Epoc #	10	 10.368085861206055
2023-07-19 18:01:39.239396 - Epoc #	20	 9.256862163543701
2023-07-19 18:01:54.474991 - Epoc #	30	 15.235594987869263
2023-07-19 18:02:07.398071 - Epoc #	40	 12.92307996749878
2023-07-19 18:02:22.289369 - Epoc #	50	 14.891298055648804
2023-07-19 18:02:34.128038 - Epoc #	60	 11.838668823242188
2023-07-19 18:02:44.282824 - Epoc #	70	 10.154786109924316
2023-07-19 18:02:51.896034 - Epoc #	80	 7.613209962844849
2023-07-19 18:02:59.995103 - Epoc #	90	 8.099068880081177
2023-07-19 18:03:07.926920 - Epoc #	100	 7.931817054748535
2023-07-19 18:03:14.554429 - Epoc #	110	 6.627509117126465
2023-07-19 18:03:21.637611 - Epoc #	120	 7.083181858062744
2023-07-19 18:03:28.573185 - Epoc #	130	 6.935574054718018
2023-07-19 18:03:35.524353 - Epoc #	140	 6.951168060302734
2023-07-19 18:03:48.785698 - Epoc #	150	 13.261344909667969
2023-07-19 18:04:00.818391 - Epoc #	160	 12.032693147659302
2023-07-19 18:04:16.819673 - Epoc #	170	 16.00128197669983
2023-07-19 18:04:25.759350 - Epoc #	180	 8.939677000045776
2023-07-19 18:04:38.652163 - Epoc #	190	 12.892812967300415
2023-07-19 18:04:50.683907 - Epoc #	200	 12.031744003295898
2023-07-19 18:05:07.174153 - Epoc #	210	 16.490246057510376
2023-07-19 18:05:22.751144 - Epoc #	220	 15.576990842819214
2023-07-19 18:05:35.989472 - Epoc #	230	 13.238327980041504
2023-07-19 18:05:48.822706 - Epoc #	240	 12.833234071731567
2023-07-19 18:05:59.048937 - Epoc #	250	 10.226231098175049
2023-07-19 18:06:14.432522 - Epoc #	260	 15.383584976196289
2023-07-19 18:06:28.214357 - Epoc #	270	 13.781834840774536
2023-07-19 18:06:43.519735 - Epoc #	280	 15.305378198623657
2023-07-19 18:06:57.264169 - Epoc #	290	 13.744433879852295
2023-07-19 18:07:12.756969 - Epoc #	300	 15.492799997329712
2023-07-19 18:07:28.391663 - Epoc #	310	 15.63469409942627
2023-07-19 18:07:39.253268 - Epoc #	320	 10.861604928970337
2023-07-19 18:07:49.515221 - Epoc #	330	 10.261953115463257
2023-07-19 18:08:00.655935 - Epoc #	340	 11.140713930130005
2023-07-19 18:08:12.939961 - Epoc #	350	 12.28402590751648
2023-07-19 18:08:29.402457 - Epoc #	360	 16.462496042251587
2023-07-19 18:08:45.663133 - Epoc #	370	 16.26067590713501
2023-07-19 18:08:57.796640 - Epoc #	380	 12.133507013320923
2023-07-19 18:09:12.473579 - Epoc #	390	 14.676939010620117
2023-07-19 18:09:25.910293 - Epoc #	400	 13.436714172363281
2023-07-19 18:09:44.691172 - Epoc #	410	 18.78087878227234
2023-07-19 18:09:57.672413 - Epoc #	420	 12.981241226196289
2023-07-19 18:10:10.400539 - Epoc #	430	 12.728125810623169
2023-07-19 18:10:23.681907 - Epoc #	440	 13.281368017196655
2023-07-19 18:10:28.772915 - Time between reward step: #	549.1584668159485
2023-07-19 18:10:28.772915 - Average Score: 7.000 Elapsed time: 0:09:10.264107
2023-07-19 18:10:35.529881 - Epoc #	450	 11.847974061965942
2023-07-19 18:10:50.688464 - Epoc #	460	 15.158582925796509
2023-07-19 18:11:02.775903 - Epoc #	470	 12.087439060211182
2023-07-19 18:11:15.010955 - Epoc #	480	 12.235052108764648
2023-07-19 18:11:30.127695 - Epoc #	490	 15.116739988327026
2023-07-19 18:11:48.718509 - Epoc #	500	 18.590813875198364
2023-07-19 18:12:03.582467 - Epoc #	510	 14.86395812034607
2023-07-19 18:12:15.650743 - Time between reward step: #	656.0362949371338
2023-07-19 18:12:15.650743 - Average Score: 8.000 Elapsed time: 0:10:57.148388
2023-07-19 18:12:27.420456 - Epoc #	520	 23.83798885345459
2023-07-19 18:12:32.023754 - Time between reward step: #	672.4093058109283
2023-07-19 18:12:32.023754 - Average Score: 9.000 Elapsed time: 0:11:13.516776
2023-07-19 18:12:38.214978 - Time between reward step: #	678.6005299091339
2023-07-19 18:12:38.214978 - Average Score: 10.000 Elapsed time: 0:11:19.707804
2023-07-19 18:12:40.934057 - Epoc #	530	 13.513601064682007
2023-07-19 18:12:55.027381 - Epoc #	540	 14.093323945999146
2023-07-19 18:13:10.264251 - Epoc #	550	 15.236870050430298
2023-07-19 18:13:25.498356 - Epoc #	560	 15.234105110168457
2023-07-19 18:13:39.100987 - Epoc #	570	 13.602630853652954
2023-07-19 18:13:53.096223 - Epoc #	580	 13.995236158370972
2023-07-19 18:14:09.792572 - Epoc #	590	 16.696348905563354
2023-07-19 18:14:27.600986 - Epoc #	600	 17.808413982391357
2023-07-19 18:14:42.537023 - Epoc #	610	 14.936037063598633
2023-07-19 18:14:56.730215 - Epoc #	620	 14.19319200515747
2023-07-19 18:15:12.211161 - Epoc #	630	 15.480945825576782
2023-07-19 18:15:26.750383 - Epoc #	640	 14.539222002029419
2023-07-19 18:15:40.505328 - Epoc #	650	 13.754945039749146
