2023-07-18 19:45:40.972667 - Starting learning loop ...
==================================================================
2023-07-18 19:45:40.973667 - Using Framebuffer of: 4 frames	 and 	ReplayBufferSize: 25000
2023-07-18 19:45:40.973667 - Loglevel is set to: a
2023-07-18 19:45:40.973667 - Epoc #	0	 
2023-07-18 19:45:51.823727 - Epoc #	10	 10.850059986114502
2023-07-18 19:45:59.810342 - Epoc #	20	 7.986615180969238
2023-07-18 19:46:10.187414 - Epoc #	30	 10.377071857452393
2023-07-18 19:46:22.609958 - Epoc #	40	 12.422544002532959
2023-07-18 19:46:40.425120 - Epoc #	50	 17.815162181854248
2023-07-18 19:46:58.809089 - Epoc #	60	 18.383968830108643
2023-07-18 19:47:14.613274 - Epoc #	70	 15.804185152053833
2023-07-18 19:47:28.106599 - Epoc #	80	 13.493324995040894
2023-07-18 19:47:40.170680 - Epoc #	90	 12.064080953598022
2023-07-18 19:47:54.544470 - Epoc #	100	 14.37379002571106
2023-07-18 19:48:04.670869 - Epoc #	110	 10.126399040222168
2023-07-18 19:48:20.089781 - Epoc #	120	 15.418911933898926
2023-07-18 19:48:32.885744 - Epoc #	130	 12.795963048934937
2023-07-18 19:48:50.069874 - Epoc #	140	 17.1841299533844
2023-07-18 19:49:03.338337 - Epoc #	150	 13.268462896347046
2023-07-18 19:49:16.108748 - Epoc #	160	 12.770411014556885
2023-07-18 19:49:28.383578 - Epoc #	170	 12.274830102920532
2023-07-18 19:49:41.689092 - Epoc #	180	 13.305513858795166
2023-07-18 19:49:58.059834 - Epoc #	190	 16.370742082595825
2023-07-18 19:50:10.090610 - Epoc #	200	 12.030776023864746
2023-07-18 19:50:18.881827 - Epoc #	210	 8.79121708869934
2023-07-18 19:50:33.522376 - Epoc #	220	 14.640548944473267
2023-07-18 19:50:47.152691 - Epoc #	230	 13.630314826965332
2023-07-18 19:50:54.888288 - Epoc #	240	 7.735597133636475
2023-07-18 19:51:08.069308 - Epoc #	250	 13.181020021438599
2023-07-18 19:51:22.276492 - Epoc #	260	 14.207184076309204
2023-07-18 19:51:38.120066 - Epoc #	270	 15.843573808670044
2023-07-18 19:51:49.656391 - Epoc #	280	 11.536324977874756
2023-07-18 19:52:05.047217 - Epoc #	290	 15.390825986862183
2023-07-18 19:52:18.078471 - Epoc #	300	 13.031254053115845
2023-07-18 19:52:30.717792 - Epoc #	310	 12.639321088790894
2023-07-18 19:52:47.631614 - Epoc #	320	 16.913821935653687
2023-07-18 19:53:05.277811 - Epoc #	330	 17.646197080612183
2023-07-18 19:53:20.123390 - Epoc #	340	 14.845578908920288
2023-07-18 19:53:35.627327 - Epoc #	350	 15.503937005996704
2023-07-18 19:53:54.125870 - Epoc #	360	 18.49854302406311
2023-07-18 19:54:08.302062 - Epoc #	370	 14.176192045211792
2023-07-18 19:54:18.802065 - Epoc #	380	 10.50000286102295
2023-07-18 19:54:37.797915 - Epoc #	390	 18.995850086212158
2023-07-18 19:54:50.054750 - Epoc #	400	 12.256834983825684
2023-07-18 19:55:03.933114 - Epoc #	410	 13.878364086151123
2023-07-18 19:55:14.792668 - Epoc #	420	 10.859554052352905
2023-07-18 19:55:16.977078 - Time between reward step: #	576.004410982132
2023-07-18 19:55:16.977078 - Average Score: 7.000 Elapsed time: 0:09:37.139457
2023-07-18 19:55:25.494814 - Epoc #	430	 10.70214581489563
2023-07-18 19:55:36.652782 - Epoc #	440	 11.157968044281006
2023-07-18 19:55:45.658250 - Epoc #	450	 9.005468130111694
2023-07-18 19:55:59.352940 - Epoc #	460	 13.694689989089966
2023-07-18 19:56:12.079477 - Epoc #	470	 12.726536989212036
2023-07-18 19:56:29.732134 - Epoc #	480	 17.65265703201294
2023-07-18 19:56:43.746470 - Epoc #	490	 14.014335870742798
2023-07-18 19:56:59.165556 - Epoc #	500	 15.41908597946167
2023-07-18 19:57:07.090809 - Epoc #	510	 7.92525315284729
2023-07-18 19:57:24.496989 - Epoc #	520	 17.406179904937744
2023-07-18 19:57:37.122907 - Epoc #	530	 12.625917911529541
2023-07-18 19:57:53.898865 - Epoc #	540	 16.77595806121826
2023-07-18 19:58:09.476370 - Epoc #	550	 15.577505111694336
2023-07-18 19:58:22.808217 - Epoc #	560	 13.331846952438354
2023-07-18 19:58:44.152916 - Epoc #	570	 21.344698905944824
2023-07-18 19:58:56.252357 - Epoc #	580	 12.099441051483154
2023-07-18 19:59:07.801299 - Time between reward step: #	806.8286321163177
2023-07-18 19:59:07.801299 - Average Score: 8.000 Elapsed time: 0:13:27.973109
2023-07-18 19:59:08.508688 - Epoc #	590	 12.256330966949463
2023-07-18 19:59:22.875297 - Epoc #	600	 14.3666090965271
