2023-07-12 00:21:38.310010 - Starting learning loop ...
==================================================================
2023-07-12 00:21:38.310010 - Using Framebuffer of: 4 frames	 and 	ReplayBufferSize: 25000
2023-07-12 00:21:38.310010 - Loglevel is set to: a
2023-07-12 00:21:38.310010 - Epoc #	0	 
2023-07-12 00:22:07.937533 - Epoc #	10	 29.627522945404053
2023-07-12 00:22:29.548414 - Epoc #	20	 21.610881090164185
2023-07-12 00:22:50.264810 - Epoc #	30	 20.71639609336853
2023-07-12 00:23:10.745068 - Epoc #	40	 20.480257987976074
2023-07-12 00:23:32.043613 - Epoc #	50	 21.298544883728027
2023-07-12 00:23:53.630205 - Epoc #	60	 21.586591958999634
2023-07-12 00:24:14.481605 - Epoc #	70	 20.851400136947632
2023-07-12 00:24:35.412410 - Epoc #	80	 20.93080496788025
2023-07-12 00:24:56.384416 - Epoc #	90	 20.97200608253479
2023-07-12 00:25:19.252651 - Epoc #	100	 22.868234872817993
2023-07-12 00:25:39.832043 - Epoc #	110	 20.579391956329346
2023-07-12 00:26:01.481585 - Epoc #	120	 21.649542093276978
2023-07-12 00:26:22.271848 - Epoc #	130	 20.790262937545776
2023-07-12 00:26:44.041876 - Epoc #	140	 21.770028114318848
2023-07-12 00:27:05.446771 - Epoc #	150	 21.404894828796387
2023-07-12 00:27:27.366282 - Epoc #	160	 21.919511079788208
2023-07-12 00:27:49.166953 - Epoc #	170	 21.800671100616455
2023-07-12 00:28:10.464144 - Epoc #	180	 21.29719090461731
2023-07-12 00:28:31.710364 - Epoc #	190	 21.246220111846924
2023-07-12 00:28:52.451582 - Epoc #	200	 20.741217851638794
2023-07-12 00:29:12.898909 - Epoc #	210	 20.447327136993408
2023-07-12 00:29:33.929512 - Epoc #	220	 21.03060293197632
2023-07-12 00:29:55.120977 - Epoc #	230	 21.19146490097046
2023-07-12 00:30:15.887921 - Epoc #	240	 20.76694416999817
2023-07-12 00:30:36.344606 - Epoc #	250	 20.456684827804565
2023-07-12 00:30:58.077826 - Epoc #	260	 21.733220100402832
2023-07-12 00:31:18.409986 - Epoc #	270	 20.332159996032715
2023-07-12 00:31:39.251677 - Epoc #	280	 20.84169101715088
2023-07-12 00:32:00.626670 - Epoc #	290	 21.374992847442627
2023-07-12 00:32:21.647119 - Epoc #	300	 21.02044916152954
2023-07-12 00:32:42.993805 - Epoc #	310	 21.346685886383057
2023-07-12 00:33:04.272474 - Epoc #	320	 21.278669118881226
2023-07-12 00:33:24.628389 - Epoc #	330	 20.3559148311615
2023-07-12 00:33:46.796676 - Epoc #	340	 22.1682870388031
2023-07-12 00:34:08.158923 - Epoc #	350	 21.362246990203857
2023-07-12 00:34:29.006893 - Epoc #	360	 20.847970008850098
2023-07-12 00:34:49.938954 - Epoc #	370	 20.932061195373535
2023-07-12 00:35:10.470056 - Epoc #	380	 20.531101942062378
2023-07-12 00:35:30.520871 - Epoc #	390	 20.050814867019653
2023-07-12 00:35:50.795456 - Epoc #	400	 20.274585008621216
2023-07-12 00:36:11.814248 - Epoc #	410	 21.018792152404785
2023-07-12 00:36:22.955326 - Time between reward step: #	884.6453161239624
2023-07-12 00:36:22.955326 - Average Score: 11.00 Elapsed time: 0:14:51.413540
2023-07-12 00:36:33.350638 - Epoc #	420	 21.53638982772827
2023-07-12 00:36:47.937781 - Time between reward step: #	909.6277711391449
2023-07-12 00:36:47.937781 - Average Score: 12.00 Elapsed time: 0:15:16.399030
2023-07-12 00:36:54.222450 - Epoc #	430	 20.871812105178833
2023-07-12 00:37:11.371242 - Time between reward step: #	933.0612320899963
2023-07-12 00:37:11.371242 - Average Score: 13.00 Elapsed time: 0:15:39.823014
2023-07-12 00:37:15.312490 - Epoc #	440	 21.0900399684906
2023-07-12 00:37:36.180869 - Epoc #	450	 20.86837911605835
2023-07-12 00:37:58.219267 - Epoc #	460	 22.038397789001465
2023-07-12 00:38:18.752591 - Epoc #	470	 20.533324003219604
2023-07-12 00:38:40.185296 - Epoc #	480	 21.43270516395569
2023-07-12 00:38:56.483132 - Time between reward step: #	1038.1731219291687
2023-07-12 00:38:56.483132 - Average Score: 14.00 Elapsed time: 0:17:24.949082
2023-07-12 00:39:03.544678 - Epoc #	490	 23.359381914138794
2023-07-12 00:39:08.046311 - Time between reward step: #	1049.736300945282
2023-07-12 00:39:08.046311 - Average Score: 15.00 Elapsed time: 0:17:36.497829
2023-07-12 00:39:10.897110 - Time between reward step: #	1052.5871000289917
2023-07-12 00:39:10.898111 - Average Score: 16.00 Elapsed time: 0:17:39.349345
2023-07-12 00:39:26.443348 - Epoc #	500	 22.898669958114624
2023-07-12 00:39:48.251065 - Epoc #	510	 21.807717084884644
2023-07-12 00:40:09.750451 - Epoc #	520	 21.499386072158813
2023-07-12 00:40:31.152227 - Epoc #	530	 21.40177583694458
2023-07-12 00:40:52.465648 - Epoc #	540	 21.31342101097107
2023-07-12 00:41:13.885741 - Epoc #	550	 21.420093059539795
2023-07-12 00:41:35.204156 - Epoc #	560	 21.31841492652893
2023-07-12 00:41:56.410779 - Epoc #	570	 21.206623077392578
2023-07-12 00:42:17.463991 - Epoc #	580	 21.05321192741394
2023-07-12 00:42:38.961745 - Epoc #	590	 21.497754096984863
2023-07-12 00:43:01.394989 - Epoc #	600	 22.433243989944458
2023-07-12 00:43:22.008883 - Epoc #	610	 20.61389398574829
2023-07-12 00:43:42.896718 - Epoc #	620	 20.887835025787354
2023-07-12 00:44:03.711438 - Epoc #	630	 20.814719915390015
2023-07-12 00:44:23.742257 - Epoc #	640	 20.030819177627563
2023-07-12 00:44:46.538379 - Epoc #	650	 22.796121835708618
2023-07-12 00:45:07.601640 - Epoc #	660	 21.063261032104492
2023-07-12 00:45:29.803856 - Epoc #	670	 22.202215909957886
2023-07-12 00:45:50.584178 - Epoc #	680	 20.780322074890137
2023-07-12 00:46:11.739526 - Epoc #	690	 21.15534806251526
2023-07-12 00:46:32.598518 - Epoc #	700	 20.858991861343384
2023-07-12 00:46:54.037704 - Epoc #	710	 21.439186096191406
2023-07-12 00:47:15.832355 - Epoc #	720	 21.79465103149414
2023-07-12 00:47:36.797588 - Epoc #	730	 20.965233087539673
2023-07-12 00:47:58.941137 - Epoc #	740	 22.1435489654541
2023-07-12 00:48:19.751949 - Epoc #	750	 20.81081199645996
2023-07-12 00:48:41.612108 - Epoc #	760	 21.860158920288086
2023-07-12 00:49:02.766298 - Epoc #	770	 21.154190063476562
2023-07-12 00:49:23.330448 - Epoc #	780	 20.564149856567383
2023-07-12 00:49:44.424155 - Epoc #	790	 21.09370708465576
2023-07-12 00:50:05.237291 - Epoc #	800	 20.813136100769043
2023-07-12 00:50:26.922614 - Epoc #	810	 21.685322999954224
2023-07-12 00:50:48.563548 - Epoc #	820	 21.640933990478516
2023-07-12 00:51:10.067345 - Epoc #	830	 21.503796815872192
2023-07-12 00:51:30.863322 - Epoc #	840	 20.795977115631104
2023-07-12 00:51:51.499472 - Epoc #	850	 20.636149883270264
2023-07-12 00:52:12.101617 - Epoc #	860	 20.602145195007324
2023-07-12 00:52:32.952187 - Epoc #	870	 20.8505699634552
2023-07-12 00:52:54.638465 - Epoc #	880	 21.686277866363525
2023-07-12 00:53:15.327985 - Epoc #	890	 20.689520120620728
2023-07-12 00:53:36.231321 - Epoc #	900	 20.90333604812622
2023-07-12 00:53:58.293969 - Epoc #	910	 22.062647819519043
2023-07-12 00:54:20.731701 - Epoc #	920	 22.437731981277466
2023-07-12 00:54:42.181324 - Epoc #	930	 21.449623107910156
2023-07-12 00:55:04.933849 - Epoc #	940	 22.752525091171265
2023-07-12 00:55:27.063247 - Epoc #	950	 22.129397869110107
2023-07-12 00:55:49.745638 - Epoc #	960	 22.682390928268433
2023-07-12 00:56:10.557986 - Epoc #	970	 20.812348127365112
2023-07-12 00:56:31.167727 - Epoc #	980	 20.60974097251892
2023-07-12 00:56:51.947582 - Epoc #	990	 20.779855012893677
2023-07-12 00:57:13.255731 - Epoc #	1000	 21.308149099349976
2023-07-12 00:57:34.854673 - Epoc #	1010	 21.598941802978516
2023-07-12 00:57:55.539192 - Epoc #	1020	 20.684519052505493
2023-07-12 00:58:16.321273 - Epoc #	1030	 20.782081127166748
2023-07-12 00:58:37.539831 - Epoc #	1040	 21.218557834625244
2023-07-12 00:58:59.025046 - Epoc #	1050	 21.485215187072754
2023-07-12 00:59:20.462257 - Epoc #	1060	 21.43721079826355
