2023-07-12 16:47:02.431850 - Starting learning loop ...
==================================================================
2023-07-12 16:47:02.431850 - Using Framebuffer of: 4 frames	 and 	ReplayBufferSize: 25000
2023-07-12 16:47:02.431850 - Loglevel is set to: a
2023-07-12 16:47:02.431850 - Epoc #	0	 
2023-07-12 16:47:12.072470 - Epoc #	10	 9.640619993209839
2023-07-12 16:47:21.228716 - Epoc #	20	 9.156245946884155
2023-07-12 16:47:30.088101 - Epoc #	30	 8.859385013580322
2023-07-12 16:47:39.072432 - Epoc #	40	 8.984331130981445
2023-07-12 16:47:47.978648 - Epoc #	50	 8.906215906143188
2023-07-12 16:47:56.931843 - Epoc #	60	 8.953195095062256
2023-07-12 16:48:06.181763 - Epoc #	70	 9.249919891357422
2023-07-12 16:48:14.898189 - Epoc #	80	 8.716426134109497
2023-07-12 16:48:23.695117 - Epoc #	90	 8.79692792892456
2023-07-12 16:48:32.882541 - Epoc #	100	 9.187423944473267
2023-07-12 16:48:36.695117 - Time between reward step: #	94.26326704025269
2023-07-12 16:48:36.695117 - Average Score: 7.00 Elapsed time: 0:01:35.549615
2023-07-12 16:48:38.554488 - Time between reward step: #	96.12263798713684
2023-07-12 16:48:38.554488 - Average Score: 8.00 Elapsed time: 0:01:37.396883
2023-07-12 16:48:42.070115 - Epoc #	110	 9.1875741481781
2023-07-12 16:48:43.023172 - Time between reward step: #	100.59132194519043
2023-07-12 16:48:43.023172 - Average Score: 9.00 Elapsed time: 0:01:41.874898
2023-07-12 16:48:43.992726 - Time between reward step: #	101.56087613105774
2023-07-12 16:48:43.992726 - Average Score: 10.00 Elapsed time: 0:01:42.845665
2023-07-12 16:48:51.147617 - Epoc #	120	 9.077502012252808
2023-07-12 16:48:58.414135 - Time between reward step: #	115.9822850227356
2023-07-12 16:48:58.414135 - Average Score: 11.00 Elapsed time: 0:01:57.259171
2023-07-12 16:49:00.089118 - Epoc #	130	 8.941500902175903
2023-07-12 16:49:09.578158 - Epoc #	140	 9.489039897918701
2023-07-12 16:49:18.850221 - Epoc #	150	 9.27206301689148
2023-07-12 16:49:27.715153 - Epoc #	160	 8.8649320602417
2023-07-12 16:49:36.533208 - Epoc #	170	 8.818054914474487
2023-07-12 16:49:45.542342 - Epoc #	180	 9.00913405418396
2023-07-12 16:49:54.511092 - Epoc #	190	 8.96875
2023-07-12 16:50:03.698885 - Epoc #	200	 9.187793016433716
2023-07-12 16:50:12.720775 - Epoc #	210	 9.021889925003052
2023-07-12 16:50:21.603459 - Epoc #	220	 8.882683992385864
2023-07-12 16:50:30.806693 - Epoc #	230	 9.203234195709229
2023-07-12 16:50:40.507308 - Epoc #	240	 9.700614929199219
2023-07-12 16:50:49.663551 - Epoc #	250	 9.156243085861206
2023-07-12 16:50:58.835393 - Epoc #	260	 9.171841859817505
2023-07-12 16:51:07.913560 - Epoc #	270	 9.078166961669922
2023-07-12 16:51:16.867043 - Epoc #	280	 8.95348310470581
2023-07-12 16:51:26.226447 - Epoc #	290	 9.35940408706665
2023-07-12 16:51:35.087206 - Epoc #	300	 8.860758781433105
2023-07-12 16:51:44.602840 - Epoc #	310	 9.515634059906006
2023-07-12 16:51:53.243468 - Epoc #	320	 8.640628099441528
2023-07-12 16:52:02.118457 - Epoc #	330	 8.874989032745361
2023-07-12 16:52:11.056752 - Epoc #	340	 8.938294887542725
2023-07-12 16:52:20.056751 - Epoc #	350	 8.999999046325684
2023-07-12 16:52:29.056783 - Epoc #	360	 9.0000319480896
2023-07-12 16:52:38.353631 - Epoc #	370	 9.296848058700562
2023-07-12 16:52:47.134913 - Epoc #	380	 8.7812819480896
2023-07-12 16:52:56.119260 - Epoc #	390	 8.984347105026245
2023-07-12 16:53:05.072394 - Epoc #	400	 8.953133821487427
2023-07-12 16:53:14.210321 - Epoc #	410	 9.137927055358887
2023-07-12 16:53:23.147837 - Epoc #	420	 8.9375159740448
2023-07-12 16:53:32.866584 - Epoc #	430	 9.71874713897705
2023-07-12 16:53:41.976208 - Epoc #	440	 9.109623908996582
2023-07-12 16:53:50.694955 - Epoc #	450	 8.71874713897705
